Session: ClassificationLearnerSession_00-feature_selection_MRMR,,,,,,,,,,
Training Data: train_data    Observations: 864,,,,,,,,,,
"Predictors: 36    Predictor Names: mean_fmg_Extensor, rms_fmg_Extensor, std_fmg_Extensor, median_fmg_Extensor, wl_fmg_Extensor, ssc_fmg_Extensor, rms_Extensor, mav_Extensor, sd_Extensor, iqr_Extensor, wl_Extensor, ssc_Extensor, iemg_Extensor, kurt_Extensor, log_Extensor, mnf_Extensor, pkf_Extensor, mnpsd_Extensor, mean_fmg_Flexor, rms_fmg_Flexor, std_fmg_Flexor, median_fmg_Flexor, wl_fmg_Flexor, ssc_fmg_Flexor, rms_Flexor, mav_Flexor, sd_Flexor, iqr_Flexor, wl_Flexor, ssc_Flexor, iemg_Flexor, kurt_Flexor, log_Flexor, mnf_Flexor, pkf_Flexor, mnpsd_Flexor",,,,,,,,,,
"Response Name: labels    Response Classes: 5    Response Class Names: abrir, fechar, ok, pinch, point",,,,,,,,,,
Validation: 5-fold cross-validation,,,,,,,,,,
Test Data: test_data    Observations: 216,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Favorite,Model Number,Model Type,Accuracy % (Validation),Accuracy % (Test),Preset,Prediction Speed (obs/sec),Training Time (sec),Model Size (bytes),Selected Features,Feature Ranking Algorithm
0,2.1,Tree,71.2962962962963,74.0740740740741,Fine Tree,6336.83350483367,12.4632289,39505,30/36,MRMR
0,2.2,Tree,63.1944444444444,56.9444444444444,Medium Tree,7480.64253870843,14.1790766,15593,30/36,MRMR
0,2.3,Tree,48.3796296296296,43.0555555555556,Coarse Tree,7092.63523414316,13.1451499,9733,30/36,MRMR
0,2.4,Discriminant,70.6018518518518,71.2962962962963,Linear Discriminant,6698.81685248647,12.2264652,27046,30/36,MRMR
0,2.5,Discriminant,83.3333333333333,80.5555555555556,Quadratic Discriminant,4238.41059602649,11.750647,94912,30/36,MRMR
0,2.6,Efficient Logistic Regression,36.3425925925926,30.5555555555556,Efficient Logistic Regression,3832.58182495658,11.0413055,163376,30/36,MRMR
0,2.7,Efficient Linear SVM,59.375,64.3518518518518,Efficient Linear SVM,4531.68402413541,10.6072957,162932,30/36,MRMR
0,2.8,Naive Bayes,56.8287037037037,57.4074074074074,Gaussian Naive Bayes,3304.87974674829,10.2587367,29738,30/36,MRMR
0,2.9,Naive Bayes,62.2685185185185,62.5,Kernel Naive Bayes,480.506881370192,20.5509254,1170128,30/36,MRMR
0,2.10,SVM,71.7592592592593,73.6111111111111,Linear SVM,5879.75092721767,15.6993865,94452,30/36,MRMR
0,2.11,SVM,87.7314814814815,84.7222222222222,Quadratic SVM,6036.03597309772,15.3575732,282340,30/36,MRMR
0,2.12,SVM,88.6574074074074,87.037037037037,Cubic SVM,3994.1862400284,14.9601622,269796,30/36,MRMR
0,2.13,SVM,75.9259259259259,70.3703703703704,Fine Gaussian SVM,2602.31714655925,14.7325549,949948,30/36,MRMR
0,2.14,SVM,85.5324074074074,87.037037037037,Medium Gaussian SVM,2351.22642038296,14.5323279,447164,30/36,MRMR
0,2.15,SVM,63.6574074074074,64.3518518518518,Coarse Gaussian SVM,4228.44569383704,13.868437,635580,30/36,MRMR
0,2.16,KNN,87.037037037037,85.6481481481482,Fine KNN,5034.956232594,13.3774272,231258,30/36,MRMR
0,2.17,KNN,82.0601851851852,83.3333333333333,Medium KNN,4913.63881683672,12.6414576,231258,30/36,MRMR
0,2.18,KNN,58.5648148148148,62.962962962963,Coarse KNN,3886.34247493444,18.8225228,231258,30/36,MRMR
0,2.19,KNN,81.25,84.2592592592593,Cosine KNN,4295.52196806498,18.4422405,231246,30/36,MRMR
0,2.20,KNN,79.9768518518518,82.4074074074074,Cubic KNN,2721.49041918827,18.1176881,231274,30/36,MRMR
0,2.21,KNN,86.1111111111111,87.962962962963,Weighted KNN,6704.08747592658,17.6185249,231276,30/36,MRMR
0,2.22,Ensemble,76.8518518518518,68.0555555555556,Boosted Trees,1999.91620721447,21.2452036,471150,30/36,MRMR
0,2.23,Ensemble,85.6481481481482,84.7222222222222,Bagged Trees,2412.00508531072,22.7442252,1286470,30/36,MRMR
0,2.24,Ensemble,67.8240740740741,68.9814814814815,Subspace Discriminant,1265.50333124711,19.895169,369312,30/36,MRMR
0,2.25,Ensemble,63.6574074074074,68.5185185185185,Subspace KNN,989.023895229402,20.7406881,3762872,30/36,MRMR
0,2.26,Ensemble,73.0324074074074,68.9814814814815,RUSBoosted Trees,2744.74448144343,24.1452501,471150,30/36,MRMR
0,2.27,Neural Network,80.4398148148148,78.2407407407407,Narrow Neural Network,13240.4458842748,21.8423625,13369,30/36,MRMR
0,2.28,Neural Network,85.5324074074074,79.1666666666667,Medium Neural Network,4628.4342285568,18.2403295,17689,30/36,MRMR
0,2.29,Neural Network,85.9953703703704,83.3333333333333,Wide Neural Network,14809.9898866967,21.4542628,39289,30/36,MRMR
0,2.30,Neural Network,80.6712962962963,76.3888888888889,Bilayered Neural Network,23572.4867609384,24.5518092,15169,30/36,MRMR
0,2.31,Neural Network,78.2407407407407,72.6851851851852,Trilayered Neural Network,24141.1587197362,30.0788665,16969,30/36,MRMR
0,2.32,Kernel,59.375,63.4259259259259,SVM Kernel,6756.54011969398,12.1089116,212322,30/36,MRMR
0,2.33,Kernel,56.4814814814815,56.4814814814815,Logistic Regression Kernel,4881.79722460788,6.6721391,212742,30/36,MRMR
0,3.1,Tree,72.6851851851852,75.462962962963,Fine Tree,36478.0139747947,8.2991768,40717,24/36,MRMR
0,3.2,Tree,62.2685185185185,61.1111111111111,Medium Tree,36537.4043219013,3.8620179,14765,24/36,MRMR
0,3.3,Tree,48.3796296296296,43.0555555555556,Coarse Tree,32167.6290893657,1.8218111,8913,24/36,MRMR
0,3.4,Discriminant,68.6342592592593,66.2037037037037,Linear Discriminant,22818.2070276908,2.6350782,20130,24/36,MRMR
0,3.5,Discriminant,81.1342592592593,77.3148148148148,Quadratic Discriminant,15200.6164694457,1.719456,65484,24/36,MRMR
0,3.6,Efficient Logistic Regression,39.6990740740741,34.2592592592593,Efficient Logistic Regression,19519.7773299475,2.8291841,153396,24/36,MRMR
0,3.7,Efficient Linear SVM,57.6388888888889,61.1111111111111,Efficient Linear SVM,8192.46217623655,5.3871859,152952,24/36,MRMR
0,3.8,Naive Bayes,57.6388888888889,57.4074074074074,Gaussian Naive Bayes,6874.07162241616,2.1018193,24574,24/36,MRMR
0,3.9,Naive Bayes,62.2685185185185,63.8888888888889,Kernel Naive Bayes,1490.13227166008,8.4037275,936886,24/36,MRMR
0,3.10,SVM,71.412037037037,72.6851851851852,Linear SVM,16694.1682478466,2.0966554,83992,24/36,MRMR
0,3.11,SVM,86.6898148148148,85.1851851851852,Quadratic SVM,11108.5539722723,3.0698142,245432,24/36,MRMR
0,3.12,SVM,88.3101851851852,86.5740740740741,Cubic SVM,13103.8739844118,3.3613198,235032,24/36,MRMR
0,3.13,SVM,73.8425925925926,68.0555555555556,Fine Gaussian SVM,9330.15129099489,4.267858,789728,24/36,MRMR
0,3.14,SVM,84.4907407407407,85.6481481481482,Medium Gaussian SVM,9743.90667502718,3.1156957,378928,24/36,MRMR
0,3.15,SVM,64.0046296296296,62.5,Coarse Gaussian SVM,12322.2086418045,3.6206761,528896,24/36,MRMR
0,3.16,KNN,86.8055555555556,84.7222222222222,Fine KNN,12833.805193532,2.9493565,188870,24/36,MRMR
0,3.17,KNN,83.3333333333333,81.4814814814815,Medium KNN,11309.5666629579,1.5677111,188870,24/36,MRMR
0,3.18,KNN,60.4166666666667,62.037037037037,Coarse KNN,11539.0779421978,2.5786211,188870,24/36,MRMR
0,3.19,KNN,81.5972222222222,77.7777777777778,Cosine KNN,15377.4140671302,2.1139912,188858,24/36,MRMR
0,3.20,KNN,80.787037037037,81.0185185185185,Cubic KNN,5111.90274605026,2.1423494,188886,24/36,MRMR
0,3.21,KNN,86.5740740740741,85.6481481481482,Weighted KNN,13587.4265980166,1.1103065,188888,24/36,MRMR
0,3.22,Ensemble,74.6527777777778,68.9814814814815,Boosted Trees,2810.24869074612,6.8878166,445730,24/36,MRMR
0,3.23,Ensemble,85.6481481481482,87.037037037037,Bagged Trees,2764.48860800319,7.5764865,1283478,24/36,MRMR
0,3.24,Ensemble,64.9305555555556,65.2777777777778,Subspace Discriminant,1673.90021462346,6.8848288,303350,24/36,MRMR
0,3.25,Ensemble,62.5,61.1111111111111,Subspace KNN,897.700111017659,7.9360228,3127492,24/36,MRMR
0,3.26,Ensemble,72.8009259259259,68.5185185185185,RUSBoosted Trees,2793.16785968987,8.968621,445730,24/36,MRMR
0,3.27,Neural Network,79.9768518518518,78.2407407407407,Narrow Neural Network,14579.0550949917,9.2734934,11973,24/36,MRMR
0,3.28,Neural Network,81.712962962963,81.4814814814815,Medium Neural Network,15340.2553868443,4.8262606,15573,24/36,MRMR
0,3.29,Neural Network,86.2268518518518,82.8703703703704,Wide Neural Network,11268.1640456882,5.9005022,33573,24/36,MRMR
0,3.30,Neural Network,79.8611111111111,78.7037037037037,Bilayered Neural Network,26139.5196863258,9.3548039,13773,24/36,MRMR
0,3.31,Neural Network,76.0416666666667,75.462962962963,Trilayered Neural Network,23368.4039704649,9.6151649,15573,24/36,MRMR
0,3.32,Kernel,50.5787037037037,55.0925925925926,SVM Kernel,6969.37749100797,11.934784,203302,24/36,MRMR
0,3.33,Kernel,49.0740740740741,52.7777777777778,Logistic Regression Kernel,5512.33448641503,7.2611938,203714,24/36,MRMR
0,4.1,Tree,72.2222222222222,75.9259259259259,Fine Tree,38210.1380695035,9.9516483,33929,18/36,MRMR
0,4.2,Tree,61.9212962962963,61.1111111111111,Medium Tree,41577.0402344483,3.4313271,13937,18/36,MRMR
0,4.3,Tree,48.2638888888889,43.0555555555556,Coarse Tree,34933.6503238641,1.6447815,8077,18/36,MRMR
0,4.4,Discriminant,66.3194444444444,62.962962962963,Linear Discriminant,21858.7529885014,2.9605837,14350,18/36,MRMR
0,4.5,Discriminant,80.2083333333333,81.9444444444444,Quadratic Discriminant,22023.5682768852,1.2594004,41800,18/36,MRMR
0,4.6,Efficient Logistic Regression,38.5416666666667,32.8703703703704,Efficient Logistic Regression,21931.1605239111,2.8673868,143240,18/36,MRMR
0,4.7,Efficient Linear SVM,52.5462962962963,60.6481481481482,Efficient Linear SVM,18148.3628664331,3.5166031,142796,18/36,MRMR
0,4.8,Naive Bayes,57.9861111111111,55.0925925925926,Gaussian Naive Bayes,7680.09557452271,2.4453293,19394,18/36,MRMR
0,4.9,Naive Bayes,62.6157407407407,63.8888888888889,Kernel Naive Bayes,1986.16306398755,5.5679293,703628,18/36,MRMR
0,4.10,SVM,71.412037037037,73.1481481481482,Linear SVM,14742.6939201745,3.4592151,73356,18/36,MRMR
0,4.11,SVM,85.8796296296296,84.7222222222222,Quadratic SVM,11924.4947616412,2.268297,188636,18/36,MRMR
0,4.12,SVM,87.6157407407407,86.1111111111111,Cubic SVM,11348.9784605846,3.2256335,178876,18/36,MRMR
0,4.13,SVM,76.1574074074074,75.462962962963,Fine Gaussian SVM,14148.2322078611,2.9287258,599316,18/36,MRMR
0,4.14,SVM,84.6064814814815,86.5740740740741,Medium Gaussian SVM,14895.4217266276,2.9988745,293876,18/36,MRMR
0,4.15,SVM,64.6990740740741,65.7407407407407,Coarse Gaussian SVM,15018.8517879213,3.1353079,414356,18/36,MRMR
0,4.16,KNN,86.8055555555556,87.5,Fine KNN,17459.0248407167,1.182391,146466,18/36,MRMR
0,4.17,KNN,82.6388888888889,85.1851851851852,Medium KNN,17126.8856423573,2.2458226,146466,18/36,MRMR
0,4.18,KNN,58.6805555555556,61.1111111111111,Coarse KNN,17229.4144392065,2.6607702,146466,18/36,MRMR
0,4.19,KNN,80.4398148148148,81.0185185185185,Cosine KNN,17836.6460499261,1.2616051,146454,18/36,MRMR
0,4.20,KNN,80.9027777777778,81.9444444444444,Cubic KNN,7984.21638704968,2.5432102,146482,18/36,MRMR
0,4.21,KNN,85.3009259259259,88.4259259259259,Weighted KNN,15653.7052537748,1.373198,146484,18/36,MRMR
0,4.22,Ensemble,75,71.2962962962963,Boosted Trees,4575.66772178881,4.5858408,419814,18/36,MRMR
0,4.23,Ensemble,83.6805555555556,84.7222222222222,Bagged Trees,3072.24687210421,4.6564548,1266106,18/36,MRMR
0,4.24,Ensemble,61.9212962962963,58.7962962962963,Subspace Discriminant,2245.07195013862,5.427685,245920,18/36,MRMR
0,4.25,Ensemble,60.3009259259259,59.7222222222222,Subspace KNN,1446.52939258992,5.8962514,3231000,18/36,MRMR
0,4.26,Ensemble,72.9166666666667,69.4444444444444,RUSBoosted Trees,4467.443505454,6.8847797,419814,18/36,MRMR
0,4.27,Neural Network,77.5462962962963,80.5555555555556,Narrow Neural Network,28501.2122911478,10.6548127,10561,18/36,MRMR
0,4.28,Neural Network,85.6481481481482,82.4074074074074,Medium Neural Network,34463.6396635009,3.994367,13441,18/36,MRMR
0,4.29,Neural Network,83.6805555555556,83.7962962962963,Wide Neural Network,29500.1365747064,3.9656778,27841,18/36,MRMR
0,4.30,Neural Network,77.1990740740741,75.462962962963,Bilayered Neural Network,28201.1025847747,5.9942031,12361,18/36,MRMR
0,4.31,Neural Network,80.5555555555556,77.3148148148148,Trilayered Neural Network,27120.2614091864,9.0382599,14161,18/36,MRMR
0,4.32,Kernel,48.7268518518519,57.4074074074074,SVM Kernel,6827.88051209104,10.5688828,194106,18/36,MRMR
0,4.33,Kernel,45.8333333333333,53.7037037037037,Logistic Regression Kernel,5931.75597140399,5.8901055,194526,18/36,MRMR
