Session: ClassificationLearnerSession_03-initial_selection_EMG,,,,,,,,,,,
Training Data: train_data    Observations: 864,,,,,,,,,,,
"Predictors: 36    Predictor Names: mean_fmg_Extensor, rms_fmg_Extensor, std_fmg_Extensor, median_fmg_Extensor, wl_fmg_Extensor, ssc_fmg_Extensor, rms_Extensor, mav_Extensor, sd_Extensor, iqr_Extensor, wl_Extensor, ssc_Extensor, iemg_Extensor, kurt_Extensor, log_Extensor, mnf_Extensor, pkf_Extensor, mnpsd_Extensor, mean_fmg_Flexor, rms_fmg_Flexor, std_fmg_Flexor, median_fmg_Flexor, wl_fmg_Flexor, ssc_fmg_Flexor, rms_Flexor, mav_Flexor, sd_Flexor, iqr_Flexor, wl_Flexor, ssc_Flexor, iemg_Flexor, kurt_Flexor, log_Flexor, mnf_Flexor, pkf_Flexor, mnpsd_Flexor",,,,,,,,,,,
"Response Name: labels    Response Classes: 5    Response Class Names: abrir, fechar, ok, pinch, point",,,,,,,,,,,
Validation: 5-fold cross-validation,,,,,,,,,,,
Test Data: test_data    Observations: 216,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Favorite,Model Number,Model Type,Accuracy % (Validation),Accuracy % (Test),Preset,Prediction Speed (obs/sec),Training Time (sec),Model Size (bytes),Hyperparameters,Selected Features,Feature Ranking Algorithm
0,2.1,Tree,68.287037037037,67.1296296296296,Fine Tree,24918.021439881,8.1685156,40441,Maximum number of splits: 100; Split criterion: Gini's diversity index; Surrogate decision splits: Off,24/36,None
0,2.2,Tree,62.5,59.2592592592593,Medium Tree,37318.5901865929,2.5540431,14661,Maximum number of splits: 20; Split criterion: Gini's diversity index; Surrogate decision splits: Off,24/36,None
0,2.3,Tree,47.5694444444444,43.0555555555556,Coarse Tree,29885.645896604,1.4669033,8817,Maximum number of splits: 4; Split criterion: Gini's diversity index; Surrogate decision splits: Off,24/36,None
0,2.4,Discriminant,62.962962962963,64.3518518518518,Linear Discriminant,17842.9817605075,1.7941954,20034,Covariance structure: Full,24/36,None
0,2.5,Discriminant,73.1481481481482,72.6851851851852,Quadratic Discriminant,15495.0896347893,1.5637443,65388,Covariance structure: Full,24/36,None
0,2.6,Efficient Logistic Regression,34.7222222222222,26.8518518518519,Efficient Logistic Regression,15555.9356517199,3.3638175,152340,Learner: Logistic regression; Solver: Auto; Regularization strength (Lambda): Auto; Relative coefficient tolerance (Beta tolerance): 0.0001,24/36,None
0,2.7,Efficient Linear SVM,56.0185185185185,55.5555555555556,Efficient Linear SVM,14026.9759528278,3.1299926,151896,Learner: SVM; Solver: Auto; Regularization strength (Lambda): Auto; Relative coefficient tolerance (Beta tolerance): 0.0001,24/36,None
0,2.8,Naive Bayes,48.9583333333333,51.8518518518518,Gaussian Naive Bayes,4912.95148403547,2.8661707,24478,Distribution name for numeric predictors: Gaussian; Distribution name for categorical predictors: Not Applicable,24/36,None
0,2.9,Naive Bayes,58.4490740740741,57.4074074074074,Kernel Naive Bayes,490.177834702957,10.399566,936790,Distribution name for numeric predictors: Kernel; Distribution name for categorical predictors: Not Applicable; Kernel type: Gaussian; Support: Unbounded,24/36,None
0,2.10,SVM,65.162037037037,65.7407407407407,Linear SVM,5815.25656790826,3.2294355,82936,Kernel function: Linear; Kernel scale: Automatic; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,24/36,None
0,2.11,SVM,79.2824074074074,75,Quadratic SVM,4532.97027599178,5.1145223,257064,Kernel function: Quadratic; Kernel scale: Automatic; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,24/36,None
0,2.12,SVM,79.3981481481482,79.6296296296296,Cubic SVM,5285.34113084278,4.0775668,236888,Kernel function: Cubic; Kernel scale: Automatic; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,24/36,None
0,2.13,SVM,75.9259259259259,75.462962962963,Custom SVM,4410.40221949408,4.329649,651600,Kernel function: Gaussian; Kernel scale: 1.5; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,24/36,None
0,2.14,SVM,73.1481481481482,75.462962962963,Custom SVM,6140.8995280605,3.6997697,404912,Kernel function: Gaussian; Kernel scale: 6; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,24/36,None
0,2.15,SVM,53.3564814814815,52.3148148148148,Custom SVM,5672.45883364004,3.4364658,574640,Kernel function: Gaussian; Kernel scale: 24; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,24/36,None
0,2.16,KNN,74.8842592592593,80.0925925925926,Fine KNN,6866.15059280151,3.1128108,188774,Number of neighbors: 1; Distance metric: Euclidean; Distance weight: Equal; Standardize data: Yes,24/36,None
0,2.17,KNN,73.0324074074074,76.8518518518518,Medium KNN,7713.70029953084,1.5582522,188774,Number of neighbors: 10; Distance metric: Euclidean; Distance weight: Equal; Standardize data: Yes,24/36,None
0,2.18,KNN,58.7962962962963,57.4074074074074,Coarse KNN,4005.96629331741,2.2643558,188774,Number of neighbors: 100; Distance metric: Euclidean; Distance weight: Equal; Standardize data: Yes,24/36,None
0,2.19,KNN,71.0648148148148,71.2962962962963,Cosine KNN,6208.86804574441,1.4447744,188762,Number of neighbors: 10; Distance metric: Cosine; Distance weight: Equal; Standardize data: Yes,24/36,None
0,2.20,KNN,70.3703703703704,70.8333333333333,Cubic KNN,4750.9752146462,1.8775154,188790,Number of neighbors: 10; Distance metric: Minkowski (cubic); Distance weight: Equal; Standardize data: Yes,24/36,None
0,2.21,KNN,75.5787037037037,77.3148148148148,Weighted KNN,9853.22795853433,1.9315963,188792,Number of neighbors: 10; Distance metric: Euclidean; Distance weight: Squared inverse; Standardize data: Yes,24/36,None
0,2.22,Ensemble,69.6759259259259,70.3703703703704,Boosted Trees,3410.99936754387,6.0667146,442754,Ensemble method: AdaBoost; Learner type: Decision tree; Maximum number of splits: 20; Number of learners: 30; Learning rate: 0.1; Number of predictors to sample: Select All,24/36,None
0,2.23,Ensemble,76.9675925925926,81.9444444444444,Bagged Trees,3404.02865215043,5.3898497,1441770,Ensemble method: Bag; Learner type: Decision tree; Maximum number of splits: 863; Number of learners: 30; Number of predictors to sample: Select All,24/36,None
0,2.24,Ensemble,62.8472222222222,62.962962962963,Custom Ensemble,460.426894600717,13.4543498,439978,Ensemble method: Subspace; Learner type: Discriminant; Number of learners: 30; Subspace dimension: 18,24/36,None
0,2.25,Ensemble,60.3009259259259,65.2777777777778,Custom Ensemble,669.015913983757,8.48905,4394452,Ensemble method: Subspace; Learner type: Nearest neighbors; Number of learners: 30; Subspace dimension: 18,24/36,None
0,2.26,Ensemble,68.0555555555556,67.5925925925926,RUSBoosted Trees,3886.13620907413,8.110567,442754,Ensemble method: RUSBoost; Learner type: Decision tree; Maximum number of splits: 20; Number of learners: 30; Learning rate: 0.1; Number of predictors to sample: Select All,24/36,None
0,2.27,Neural Network,73.9583333333333,74.537037037037,Narrow Neural Network,26011.4823835429,28.7618537,11877,Number of fully connected layers: 1; First layer size: 10; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,24/36,None
0,2.28,Neural Network,74.537037037037,75,Medium Neural Network,13428.7646002844,12.6931249,15477,Number of fully connected layers: 1; First layer size: 25; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,24/36,None
0,2.29,Neural Network,78.4722222222222,79.1666666666667,Wide Neural Network,16702.5914147907,16.0772847,33477,Number of fully connected layers: 1; First layer size: 100; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,24/36,None
0,2.30,Neural Network,72.2222222222222,74.0740740740741,Bilayered Neural Network,23346.1142500466,36.9972193,13677,Number of fully connected layers: 2; First layer size: 10; Second layer size: 10; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,24/36,None
0,2.31,Neural Network,67.9398148148148,78.2407407407407,Trilayered Neural Network,24635.8794210568,38.9166296,15477,Number of fully connected layers: 3; First layer size: 10; Second layer size: 10; Third layer size: 10; Activation: ReLU; Iteration limit: 1000; Regularization strength (Lambda): 0; Standardize data: Yes,24/36,None
0,2.32,Kernel,59.0277777777778,61.5740740740741,Custom Kernel,3293.33933554592,19.3765546,202246,Learner: SVM; Number of expansion dimensions: Auto; Regularization strength (Lambda): Auto; Kernel scale: Auto; Multiclass method: One-vs-One; Iteration limit: 1000,24/36,None
0,2.33,Kernel,56.5972222222222,59.2592592592593,Custom Kernel,2594.03839537108,13.6739803,202674,Learner: Logistic Regression; Number of expansion dimensions: Auto; Regularization strength (Lambda): Auto; Kernel scale: Auto; Multiclass method: One-vs-One; Iteration limit: 1000,24/36,None
